X0,X1,X2,X3,Y
83,46,22,92,79,0
32,17,15,75,61,0
31,14,90,81,21,0
92,36,94,44,52,0
2,10,20,4,94,1
19,62,97,34,54,0
82,87,82,12,83,0
51,17,93,89,58,0
65,92,4,1,11,0
13,80,31,22,44,0
65,22,83,17,93,0
24,68,83,21,36,0
10,43,94,6,74,0
64,55,32,3,26,0
38,58,25,5,20,0
64,27,1,14,13,0
36,84,20,71,75,0
45,52,28,1,86,0
89,7,75,8,76,0
36,1,41,90,59,1
44,53,59,62,61,0
44,83,59,60,75,0
75,37,14,76,82,0
5,56,20,87,67,0
69,97,58,73,83,0
14,82,79,78,17,1
72,38,28,83,2,0
74,78,22,63,40,1
33,83,96,15,86,0
29,0,13,41,90,0
51,82,31,79,74,0
81,98,99,61,28,0
52,88,91,17,5,0
80,50,81,62,81,0
51,30,11,95,31,0
28,13,32,12,93,0
23,88,43,88,69,0
29,77,86,96,42,0
24,60,97,96,11,0
97,89,34,15,59,0
63,82,25,69,26,0
28,59,11,33,52,0
51,59,96,73,22,0
7,25,24,55,77,0
8,3,80,29,84,0
50,7,22,42,60,0
72,61,34,31,83,0
65,55,19,95,4,0
24,87,74,44,28,0
67,37,40,57,4,0
52,63,18,50,95,0
80,19,69,28,8,0
47,48,95,44,75,0
84,44,32,38,47,0
80,76,63,36,48,1
8,64,47,60,89,0
49,11,42,31,61,0
46,55,27,76,24,0
24,63,83,4,24,0
90,55,60,26,16,0
91,29,58,9,63,0
73,25,74,75,67,0
80,33,96,2,65,0
76,59,45,60,17,0
18,49,79,80,43,0
43,2,78,67,87,0
9,1,13,70,97,0
2,6,30,41,28,0
62,59,6,95,28,0
83,71,22,68,23,0
46,59,11,61,31,0
81,34,20,24,23,0
34,91,73,30,13,0
20,62,63,6,64,0
49,98,47,94,52,0
68,23,36,98,48,0
65,37,98,32,32,0
62,63,80,53,85,0
60,5,32,8,62,0
45,28,12,24,82,0
50,26,80,79,47,0
66,56,57,2,6,0
18,27,0,8,18,0
35,58,65,55,51,0
35,3,10,2,39,0
20,69,82,90,51,0
50,82,57,12,21,0
65,62,33,15,98,0
96,45,38,73,35,0
57,69,74,70,13,0
81,80,76,50,38,0
37,0,80,25,20,0
70,33,91,68,96,0
84,84,42,98,27,1
38,55,32,64,49,0
17,29,67,51,15,0
79,14,21,51,15,0
79,70,31,64,72,0
76,3,53,96,71,0
97,94,72,17,34,1
23,29,81,84,74,1
78,16,30,77,7,0
34,45,29,19,2,0
49,39,46,55,69,0
78,95,6,73,84,1
82,1,4,9,83,0
33,49,24,62,67,0
64,20,66,7,2,0
81,69,7,86,50,0
36,20,95,23,26,0
24,90,92,92,21,1
93,92,66,61,33,0
46,49,49,12,20,0
10,54,6,43,49,0
38,78,62,85,16,0
63,66,86,52,22,0
63,75,11,16,78,0
74,52,45,78,21,0
99,6,44,70,82,0
24,14,72,27,50,0
6,95,68,75,3,0
70,74,19,5,61,0
58,40,85,54,26,0
94,58,61,58,60,0
26,93,29,58,0,0
70,75,10,97,50,0
36,40,75,58,85,0
60,26,74,79,34,0
89,51,47,46,9,1
41,20,5,51,57,0
60,88,89,6,24,0
9,39,82,10,29,0
36,16,5,38,19,0
56,97,19,6,65,0
9,75,59,93,64,0
44,76,10,74,32,0
98,55,81,32,12,0
8,13,87,32,50,0
51,13,28,64,89,0
2,28,44,25,90,0
45,92,5,6,40,0
2,62,44,66,68,0
30,65,36,14,40,0
30,69,61,80,59,1
76,29,56,5,41,0
67,44,33,91,46,0
46,35,10,0,51,0
57,38,81,58,65,1
41,28,68,52,0,0
77,28,53,24,20,0
38,74,96,87,3,0
21,20,70,37,90,0
73,87,71,29,74,0
39,85,45,63,55,0
10,61,24,58,46,1
82,62,86,59,70,0
50,33,24,19,15,0
65,96,85,1,1,0
99,39,57,86,82,0
14,76,8,73,32,1
6,85,18,30,38,1
97,10,20,94,99,0
34,39,27,21,28,1
77,86,12,43,49,1
69,77,40,46,55,0
95,16,5,64,54,0
74,44,30,93,95,1
63,84,3,88,93,0
67,31,50,9,63,0
62,47,37,77,20,0
24,30,32,80,45,0
80,21,86,66,62,0
39,39,6,3,81,0
38,34,94,65,16,0
22,21,72,77,40,0
38,73,68,66,45,0
95,31,57,29,64,0
18,83,56,37,54,0
85,59,13,73,81,0
42,17,21,83,41,0
70,73,69,50,0,0
93,39,29,59,24,0
1,54,50,90,89,1
19,67,64,48,48,1
14,88,1,19,51,0
4,66,5,39,68,0
83,77,25,63,24,0
3,17,57,82,54,1
67,66,93,55,85,0
44,40,8,38,62,1
13,78,54,76,69,0
78,97,46,37,47,0
46,81,39,70,23,1
27,46,36,11,63,0
20,60,18,71,70,0
90,82,13,72,24,0
60,91,1,84,49,0
29,69,51,26,23,0
50,95,16,60,44,0
27,28,6,77,82,1
47,92,61,25,23,1
9,58,61,76,46,0
59,90,75,33,35,1
79,50,62,94,75,0
55,89,58,83,1,0
58,80,2,98,43,0
92,56,27,7,85,0
20,36,54,15,62,0
17,36,50,77,43,1
18,26,87,31,28,1
91,81,78,26,26,0
18,67,50,10,77,0
41,34,99,28,92,0
73,22,86,59,93,1
24,35,12,11,98,0
11,18,15,64,62,0
4,65,60,29,32,0
26,18,42,31,25,0
34,5,31,50,26,0
14,51,56,3,58,0
69,85,7,56,69,0
15,33,76,40,18,0
38,86,66,20,12,0
25,78,89,82,0,0
54,9,86,27,27,0
98,91,85,42,66,0
40,14,70,83,87,0
91,97,36,99,62,0
32,89,93,50,88,0
72,0,69,11,32,1
10,56,21,7,77,0
32,0,63,11,91,0
63,73,36,51,86,0
82,72,39,99,95,1
56,94,10,46,67,0
13,5,80,39,97,0
3,18,18,30,44,0
25,36,25,63,44,0
81,68,99,24,61,0
52,77,61,93,89,0
39,6,88,18,43,0
0,64,20,36,1,0
23,84,25,77,82,0
37,80,97,74,13,0
68,30,75,52,58,0
42,96,23,95,64,0
79,38,0,82,54,0
18,59,79,91,7,0
3,96,56,40,86,0
71,75,80,74,25,1
88,7,95,20,19,0
93,63,41,15,9,0
85,11,44,87,18,0
99,59,19,52,25,1
26,96,66,85,70,0
47,3,56,6,84,0
87,70,76,78,35,0
21,98,47,3,96,0
83,60,4,70,47,1
69,84,78,42,52,0
53,90,89,57,12,0
97,45,61,78,17,0
42,57,68,33,55,0
39,59,6,24,18,0
38,0,69,39,38,0
76,86,5,97,63,0
92,28,46,98,91,0
61,19,63,63,40,0
23,47,66,91,14,1
60,30,47,70,11,0
88,17,65,14,16,0
15,22,12,40,10,0
62,99,25,8,7,0
88,31,4,58,51,0
62,0,75,47,66,1
38,10,42,6,56,0
34,23,26,68,51,0
75,36,15,55,71,0
60,56,58,66,81,1
19,24,9,67,46,0
8,25,23,93,7,0
21,77,10,81,63,1
37,76,29,63,41,0
26,8,37,42,60,0
47,97,10,0,85,1
21,94,52,84,35,0
50,19,71,73,80,0
52,60,90,41,35,0
73,16,55,29,38,0
50,19,35,72,7,0
68,36,22,95,4,0
75,20,29,20,41,0
30,31,0,32,82,0
46,7,19,7,59,0
83,85,88,46,69,0
92,76,29,69,70,0
47,25,93,15,57,1
42,41,57,85,59,0
50,63,42,22,50,0
0,57,38,3,90,0
20,11,17,64,94,1
23,2,14,29,74,0
81,9,74,59,57,0
62,91,49,23,89,1
67,65,61,50,65,0
1,61,61,64,42,0
6,12,39,30,54,0
83,22,60,5,50,0
93,78,15,64,41,0
50,26,93,32,4,0
14,2,72,71,77,0
52,94,13,49,31,0
60,51,69,72,16,0
73,67,83,75,53,1
65,26,57,95,34,0
15,56,4,23,93,0
19,62,5,71,12,0
42,62,84,64,75,1
98,29,67,41,25,0
28,58,67,18,80,0
9,19,80,9,64,0
23,56,5,72,58,1
63,28,74,69,93,0
69,41,71,75,92,0
85,8,48,15,99,0
74,50,21,86,45,0
98,33,68,59,82,0
41,82,91,17,72,1
64,18,72,22,82,1
42,18,82,56,94,0
80,58,43,2,96,0
68,57,45,68,43,0
73,64,55,32,80,0
35,36,22,24,31,0
68,53,26,97,53,0
61,48,10,69,12,0
74,98,41,28,3,0
32,49,37,93,71,1
14,30,18,14,89,0
22,33,78,9,20,0
90,40,99,70,59,0
16,14,63,90,9,0
66,1,43,44,50,0
97,81,58,90,70,0
11,68,47,69,24,0
85,99,36,37,48,0
34,20,43,80,96,0
60,88,30,5,21,0
7,51,2,16,94,0
21,55,29,77,4,1
48,62,23,77,75,0
99,10,35,60,64,0
60,20,89,58,3,0
99,75,84,53,17,0
89,2,77,64,31,1
93,74,26,83,63,1
90,62,99,75,88,0
61,94,57,3,16,0
35,52,96,40,83,1
48,21,73,40,34,1
53,66,63,85,73,1
31,89,73,28,20,0
42,90,53,63,18,0
97,38,18,18,33,0
77,11,10,29,26,1
39,72,37,73,1,0
66,89,23,87,46,0
99,46,46,31,99,0
99,49,76,60,17,1
44,53,77,66,99,0
8,33,14,83,58,0
44,5,27,47,15,0
66,1,43,47,43,0
54,88,16,63,26,1
55,44,43,10,44,0
46,88,53,4,2,0
0,14,70,63,95,1
96,17,64,8,57,0
53,66,12,36,42,0
42,11,37,27,96,0
83,80,51,73,35,0
81,6,35,46,72,1
69,28,79,60,29,0
37,27,77,70,37,1
78,37,85,12,29,0
53,90,46,68,62,1
89,88,64,89,91,1
10,66,77,58,91,0
96,38,56,93,36,1
85,90,3,77,52,0
38,94,36,97,59,0
27,67,92,2,34,1
86,95,57,66,68,1
86,1,18,99,1,0
29,86,78,86,55,0
98,8,59,26,53,0
45,64,43,35,2,1
98,66,48,77,5,0
39,69,84,29,48,1
44,74,59,90,87,0
50,73,38,24,59,0
13,52,52,4,69,1
19,11,3,93,67,0
1,23,11,83,87,1
99,45,36,51,67,0
41,97,81,64,2,0
65,68,38,10,60,0
44,18,78,73,76,0
28,99,15,37,43,0
83,53,91,3,46,1
21,39,49,34,48,0
77,67,44,82,12,1
8,2,60,92,51,0
91,67,5,88,87,0
33,68,19,4,14,0
36,50,1,33,71,0
52,54,78,52,9,0
96,29,59,36,2,0
39,43,44,63,96,0
61,81,77,45,72,0
0,69,32,64,86,0
52,33,16,23,46,0
96,79,90,84,47,0
12,54,83,50,32,0
62,80,7,44,50,0
60,73,10,47,68,1
52,8,58,26,17,1
78,34,70,23,16,0
54,20,46,8,75,1
50,99,40,74,78,0
69,54,90,45,0,0
7,66,93,28,75,0
44,64,81,20,33,0
85,96,10,95,19,1
43,8,86,9,43,0
94,81,27,33,56,0
75,79,1,6,16,0
72,47,34,1,83,0
58,86,79,41,84,0
82,24,81,59,64,0
87,34,36,78,93,1
29,83,3,29,19,0
54,22,84,84,13,0
88,51,17,91,16,0
36,80,69,16,55,0
46,64,85,84,84,0
48,31,86,56,90,1
83,37,75,54,72,1
58,57,46,25,3,0
87,63,58,7,9,0
41,93,1,85,6,0
90,53,30,9,85,1
75,94,40,81,89,1
51,9,77,21,40,0
39,4,2,87,20,1
98,11,72,5,73,0
61,69,80,89,85,1
31,92,90,15,24,0
99,27,25,8,58,1
89,42,77,12,21,1
8,89,38,5,40,0
5,98,7,95,25,0
61,85,72,43,65,1
40,41,71,39,18,0
0,34,26,2,91,1
39,73,75,61,93,0
0,2,20,63,18,0
12,93,63,83,16,0
98,5,76,55,33,0
95,63,28,14,65,1
15,87,78,89,4,0
73,81,40,26,93,1
41,99,28,51,95,0
38,44,59,97,45,0
42,40,41,16,52,1
96,95,86,37,41,1
62,85,63,49,72,0
20,79,49,0,37,1
65,19,28,73,58,0
78,20,77,24,0,0
57,75,93,8,85,0
97,67,82,65,85,0
98,29,35,67,3,0
69,70,34,72,33,0
87,65,29,55,80,1
84,25,3,23,35,0
95,0,51,54,86,1
64,59,51,58,36,0
56,82,71,51,59,0
22,6,12,62,21,0
70,15,71,75,82,0
96,70,11,6,75,1
57,98,46,27,7,0
71,22,4,78,97,0
94,94,9,33,15,0
93,16,81,98,76,0
73,13,94,95,19,0
73,58,38,41,70,0
44,76,99,48,69,1
83,86,61,0,50,0
60,51,29,57,6,0
83,90,75,14,77,0
26,23,84,44,75,1
16,84,53,38,15,1
86,5,51,93,0,0
30,64,97,1,84,0
49,87,0,58,69,0
99,28,27,25,3,0
63,86,30,30,42,0
2,91,74,82,11,0
79,55,7,41,82,0
20,26,2,56,91,0
83,9,3,89,23,1
82,65,40,87,84,0
63,54,59,34,24,0
16,27,11,69,67,1
83,28,93,72,0,0
37,85,53,47,0,0
55,92,54,31,37,0
27,22,57,91,50,0
27,62,85,81,57,1
57,71,36,32,80,0
56,62,21,2,74,0
6,38,36,23,32,0
67,23,97,45,42,0
12,95,81,96,69,1
6,79,73,72,93,1
24,30,36,81,54,0
48,63,84,1,53,0
13,76,31,96,72,0
44,29,36,34,35,1
4,88,45,39,88,1
20,94,18,59,80,1
17,39,90,67,19,0
90,21,43,22,79,0
5,96,42,16,53,1
37,78,83,72,52,0
80,61,77,4,34,1
13,3,13,31,97,0
68,87,66,56,97,0
47,37,56,38,73,0
18,60,43,14,60,1
86,1,6,86,49,0
50,69,47,89,6,0
88,48,31,69,48,0
8,64,99,79,7,0
29,36,89,86,60,1
62,28,54,24,86,1
69,20,62,50,52,0
70,99,33,26,55,0
44,56,30,75,33,1
4,52,60,83,93,0
95,3,79,43,6,1
50,3,76,78,64,0
77,18,1,43,84,0
91,60,13,38,84,0
51,89,24,41,61,0
86,19,95,48,75,1
68,34,84,45,5,0
80,75,96,6,26,0
62,21,64,70,4,1
50,99,56,57,2,1
34,93,89,13,19,0
35,63,83,75,89,1
92,8,0,86,6,0
49,90,74,45,97,0
28,48,44,17,94,0
61,75,3,42,19,0
83,80,5,42,62,0
11,29,18,61,67,0
50,67,15,40,33,0
11,12,87,58,3,0
13,39,74,31,68,1
35,19,11,45,43,1
78,31,61,60,36,0
89,76,76,75,2,0
5,75,83,78,17,0
67,68,39,74,15,1
21,5,37,75,31,1
61,55,89,7,23,0
85,23,45,51,1,0
56,29,21,41,24,0
18,70,81,46,47,1
71,6,82,61,13,1
44,4,41,34,43,1
42,80,9,82,61,0
41,84,79,11,29,0
34,34,83,19,27,1
76,52,82,58,6,1
79,26,15,86,32,1
0,52,10,53,20,1
8,94,77,34,29,1
98,79,60,76,63,0
85,7,60,50,5,0
84,37,78,79,35,0
38,11,64,84,5,0
99,12,48,29,45,1
21,94,61,19,63,0
49,66,21,65,28,1
1,55,48,79,28,1
13,90,96,77,74,0
48,77,25,83,50,0
56,82,40,69,71,1
36,15,86,74,95,1
87,13,98,2,0,0
16,21,16,3,68,0
85,89,4,30,32,0
61,65,11,51,12,1
21,54,59,6,74,0
51,39,61,21,59,1
81,95,10,49,71,0
96,24,0,77,10,1
81,90,82,55,33,1
23,76,42,61,94,0
5,52,94,32,90,0
41,18,2,14,27,0
59,91,90,32,49,0
74,77,64,89,1,0
37,61,47,67,68,0
68,61,27,69,11,0
37,32,22,84,82,1
16,2,35,83,78,1
88,32,98,65,69,0
26,66,79,37,32,0
32,76,48,39,88,0
22,51,39,60,32,1
5,13,88,12,31,1
2,89,94,52,19,1
48,36,59,29,28,1
85,65,95,85,91,0
32,88,6,87,99,0
37,47,78,68,43,1
45,39,93,98,17,0
67,17,60,41,70,0
79,31,79,58,44,1
51,37,55,2,22,0
27,93,4,52,33,1
0,83,16,63,61,0
63,94,72,25,84,0
12,78,79,41,85,0
1,72,14,12,53,1
95,10,32,42,78,1
94,57,94,84,6,0
23,9,75,6,25,1
7,88,50,4,94,0
11,88,68,0,27,0
33,37,54,70,96,0
24,47,89,68,34,0
39,81,47,12,60,0
94,10,10,17,28,1
64,67,1,64,25,0
98,29,23,20,30,0
10,35,30,67,58,1
8,83,95,42,97,1
6,5,89,75,49,1
9,76,31,53,22,1
0,24,45,48,70,0
16,87,85,47,35,1
26,44,62,56,38,1
20,13,33,74,24,1
35,91,35,8,20,0
20,88,71,95,14,1
14,16,84,17,94,0
42,78,50,51,95,0
40,91,69,99,51,0
81,61,97,68,20,1
88,71,40,63,27,1
92,89,51,46,73,0
10,62,44,97,36,0
75,53,99,30,27,1
49,72,21,57,26,0
74,17,19,85,58,1
27,27,47,89,93,0
69,33,95,8,86,0
2,47,51,78,82,1
13,58,1,17,38,1
11,92,23,90,43,0
71,27,68,79,50,0
39,23,5,74,58,1
69,13,76,53,29,1
51,25,10,53,27,0
56,86,1,16,91,0
65,45,0,75,59,1
98,97,68,26,21,0
76,49,14,95,40,1
99,22,85,76,98,0
3,57,41,87,92,1
39,19,7,71,39,1
67,38,51,73,43,1
50,46,45,21,42,1
55,49,8,48,47,0
98,8,87,30,58,0
8,47,50,34,67,0
10,77,52,61,69,1
71,33,15,67,41,0
0,93,42,7,94,1
91,73,33,90,99,0
67,20,55,53,76,0
70,78,60,54,52,1
71,4,12,24,69,0
0,43,45,51,20,0
61,33,69,51,2,0
97,12,27,83,0,0
69,75,42,65,75,1
52,87,60,24,99,0
24,72,84,20,2,0
51,40,9,17,66,0
35,80,94,76,52,0
61,39,51,27,8,0
92,29,12,22,58,1
29,10,70,99,39,0
56,54,91,88,43,1
18,98,15,68,70,1
4,27,78,43,15,1
69,46,56,86,32,1
89,51,90,71,26,0
35,30,96,53,60,0
60,46,89,88,91,0
73,63,7,16,17,1
94,56,30,79,70,0
56,66,51,13,13,1
80,54,76,7,37,0
59,41,0,12,92,1
68,6,98,81,52,1
49,90,10,14,83,1
21,43,92,29,81,1
64,27,57,68,1,0
83,40,85,61,50,0
26,99,73,20,11,1
45,82,91,42,44,0
76,7,48,49,7,1
45,90,96,5,66,0
28,9,27,14,20,0
43,89,89,97,43,0
64,74,7,43,39,0
33,17,78,96,18,1
74,35,56,58,56,1
58,72,8,67,94,1
20,28,72,28,31,1
44,15,85,58,36,1
15,58,37,8,9,1
22,42,58,27,46,1
8,37,27,26,51,0
75,79,19,35,19,0
38,3,50,71,4,0
67,85,3,62,98,0
39,52,2,71,72,0
8,75,16,75,54,0
74,59,86,9,89,0
66,65,85,10,59,0
89,56,97,55,30,0
41,80,28,76,20,0
51,2,31,40,56,0
5,77,6,36,87,1
52,54,24,64,48,1
74,77,2,43,14,0
55,38,43,70,6,1
97,79,39,88,71,1
92,59,70,51,60,0
28,83,59,20,87,1
83,84,86,32,93,1
2,30,45,83,60,1
84,47,86,63,13,0
45,2,20,68,24,0
26,23,63,75,13,0
22,13,36,85,70,1
38,59,55,57,67,1
9,22,97,67,10,1
48,80,5,61,75,1
88,68,81,20,90,1
41,77,24,87,18,0
24,85,34,96,40,0
33,3,60,88,29,1
25,23,32,93,62,1
96,80,82,12,7,0
89,12,83,70,51,1
37,72,0,8,40,1
25,90,48,5,53,0
78,73,47,18,98,1
24,99,3,67,86,1
17,92,98,84,1,0
22,77,53,26,96,0
54,34,16,64,33,0
91,30,36,31,21,1
81,31,98,78,56,1
63,58,89,32,76,0
88,23,42,80,35,0
71,90,43,7,62,0
32,94,74,16,78,1
52,55,16,0,16,1
93,83,11,35,31,0
89,24,60,19,59,1
2,78,55,16,97,0
23,57,70,11,29,0
66,82,90,43,70,0
70,86,72,94,26,1
95,30,91,94,30,1
13,92,84,59,70,0
81,28,22,26,9,0
93,3,36,33,11,1
81,74,60,45,24,1
37,92,89,69,72,0
53,20,43,89,66,0
82,68,69,55,77,0
93,88,99,8,98,0
39,21,46,98,96,0
14,57,66,85,15,0
30,38,51,41,97,0
51,31,95,13,29,1
91,20,18,53,22,1
92,29,34,67,10,0
8,76,5,34,27,0
48,38,91,25,50,0
17,11,44,24,99,0
55,54,84,48,26,1
39,50,13,69,91,0
34,69,60,90,36,1
85,81,55,77,2,1
82,94,65,23,31,1
61,34,97,64,5,0
67,13,89,13,39,0
80,59,74,31,90,1
5,55,31,80,6,1
80,75,67,8,35,0
49,84,1,71,9,0
40,13,54,0,5,1
3,38,91,96,36,0
48,1,60,87,75,1
21,90,55,45,64,0
97,4,36,14,10,1
6,69,12,1,16,1
27,80,83,24,6,1
52,94,32,40,16,0
9,49,13,13,78,0
39,85,62,56,11,1
60,84,31,40,54,1
59,67,38,22,13,0
82,82,51,58,50,0
84,85,77,60,33,0
35,17,20,57,3,0
57,23,88,36,74,0
81,33,18,57,18,1
65,54,2,58,58,0
8,87,34,84,37,0
91,23,83,93,71,0
81,66,71,19,5,0
7,56,12,76,87,0
64,46,0,43,79,0
7,19,26,91,60,0
46,3,90,92,60,1
30,62,69,49,38,0
38,45,96,61,42,0
10,58,86,1,90,0
26,5,82,80,13,1
28,60,10,1,80,1
52,33,56,77,56,1
46,27,52,28,52,1
22,60,81,64,44,0
96,47,84,99,15,1
8,83,1,42,26,1
33,2,97,79,76,0
1,53,22,73,59,0
76,43,7,50,60,0
2,91,75,19,29,0
30,45,1,15,56,1
96,99,59,92,81,0
91,39,82,48,46,0
49,85,64,46,11,0
42,41,82,55,79,0
22,39,1,5,64,0
62,23,55,60,72,0
77,76,48,36,30,0
4,22,13,65,9,1
50,37,40,91,25,0
98,90,75,61,5,0
91,67,43,21,5,1
81,18,62,14,93,1
53,88,28,8,1,0
47,6,60,38,34,0
76,60,19,9,86,1
12,28,82,85,61,0
4,90,94,91,49,0
11,39,81,47,64,1
40,36,77,19,72,0
78,68,11,73,85,1
85,75,29,46,79,1
53,41,59,46,35,0
17,15,10,95,25,0
9,94,46,37,58,1
89,73,76,94,73,0
82,4,69,46,22,1
89,18,70,10,42,1
2,33,15,18,3,0
47,25,93,21,13,1
11,8,17,42,51,1
38,65,4,62,75,1
25,41,69,41,30,1
12,63,44,83,65,1
91,24,12,81,92,0
82,37,94,33,97,1
25,21,39,47,30,1
63,79,69,28,82,1
67,26,12,78,10,0
90,38,32,9,4,0
87,50,82,46,21,1
56,56,55,94,87,0
29,21,76,52,19,1
59,83,7,58,8,0
10,49,26,52,78,0
55,72,30,60,84,1
70,68,45,3,81,0
97,36,61,50,80,1
54,61,55,56,85,1
28,30,58,31,65,0
31,32,31,60,61,1
12,17,54,91,23,0
66,67,16,35,23,0
2,13,77,58,35,1
57,16,75,47,39,0
91,48,83,88,78,0
8,82,85,49,12,1
97,87,88,5,74,0
37,29,62,66,85,1
92,44,36,70,55,0
79,80,30,41,88,1
31,49,97,36,27,0
68,78,89,62,69,1
19,61,70,85,17,1
42,44,60,95,24,1
45,90,73,58,51,0
32,74,26,98,25,1
39,93,41,93,56,1
19,75,97,31,34,0
78,23,91,18,68,1
55,36,41,71,10,0
69,82,7,97,14,0
24,68,16,20,28,1
60,21,6,84,91,1
26,5,90,59,87,1
60,72,83,95,3,0
78,30,49,38,88,0
26,96,94,68,85,0
20,64,21,85,36,1
92,95,70,60,97,1
40,52,63,45,37,0
74,52,58,85,87,0
10,27,90,96,36,1
89,14,36,2,92,1
47,65,79,65,67,1
56,56,20,7,83,1
33,66,28,45,0,1
74,34,50,9,49,0
1,72,7,78,72,1
38,7,68,97,79,0
72,74,7,32,97,0
49,71,90,43,85,1
0,92,2,69,78,0
75,2,23,27,10,1
17,99,41,37,43,0
87,20,67,65,52,1
42,31,38,56,66,0
13,55,99,98,88,0
86,99,90,58,19,1
8,53,98,13,85,1
19,51,67,97,86,0
94,25,2,21,98,0
86,65,65,0,46,0
37,63,65,63,65,1
3,92,58,54,0,1
66,5,65,33,72,1
82,89,53,81,80,1
84,89,1,91,33,1
87,86,75,98,37,1
77,99,43,37,45,1
83,36,26,93,20,1
67,74,51,24,85,0
25,31,74,36,51,0
82,29,40,74,6,0
4,60,48,26,16,1
92,23,23,4,45,0
17,26,60,92,50,1
64,64,58,20,90,0
14,74,94,25,77,0
35,7,18,31,62,1
54,2,61,36,54,1
72,18,37,57,93,1
27,41,39,68,78,1
98,41,59,63,34,1
0,1,63,64,7,1
99,38,65,4,4,0
76,75,75,52,55,1
67,99,57,19,21,1
6,25,9,53,95,1
35,95,25,31,76,0
98,22,64,68,87,1
68,23,18,52,49,0
17,86,77,4,35,1
17,30,88,62,85,1
72,70,50,69,17,0
68,6,11,27,92,0
82,72,73,47,58,0
12,75,64,61,35,1
83,2,57,81,69,1
99,57,28,66,58,1
36,17,11,60,34,1
26,36,10,13,13,0
48,80,44,53,98,1
21,16,18,28,5,1
57,2,57,7,24,0
38,41,19,6,42,0
2,56,4,20,20,1
93,51,20,97,12,1
72,57,56,21,67,0
