PROTECTED,X1,X2,X3,X4,X5,
0,71,43,38,21,25,0
0,59,6,31,7,58,0
0,62,73,95,28,49,0
0,50,55,71,88,17,0
0,0,70,55,16,83,0
0,55,79,69,62,21,0
0,31,23,67,18,43,0
0,10,68,22,2,99,0
0,81,80,92,36,71,0
0,27,74,51,57,99,1
0,53,37,64,93,35,0
0,96,8,40,59,79,0
0,73,45,35,31,45,0
0,50,65,29,62,21,0
0,72,29,56,71,73,1
0,86,17,5,0,4,0
0,19,77,57,53,88,0
0,87,84,18,30,87,0
0,86,44,97,38,16,0
0,7,6,39,14,40,0
0,57,51,98,99,21,0
0,12,26,53,74,60,0
0,96,66,22,58,42,0
0,52,47,98,53,30,0
0,16,58,27,80,37,0
0,70,68,94,73,87,0
0,49,23,41,54,72,0
0,30,22,89,2,89,0
0,71,39,31,9,97,0
0,90,78,40,23,58,0
0,24,74,84,69,53,1
0,55,84,38,17,33,0
0,9,19,28,81,26,0
0,3,75,36,13,72,1
0,88,19,91,34,89,0
0,33,66,62,47,23,0
0,31,96,40,22,5,1
0,57,49,57,10,81,0
0,29,64,74,28,30,1
0,86,66,51,88,58,0
0,89,74,29,83,39,0
0,68,64,95,48,88,0
0,48,38,30,34,19,0
0,7,5,1,93,36,1
0,73,95,67,97,38,0
0,53,52,93,95,29,0
0,58,70,54,95,82,1
0,60,53,12,48,64,0
0,38,10,18,49,48,0
0,46,24,41,88,50,0
0,41,24,24,20,12,0
0,56,28,92,93,32,0
0,77,32,65,10,33,1
0,98,46,31,56,49,1
0,31,91,44,78,11,0
0,60,26,44,26,77,1
0,77,53,13,38,44,0
0,19,8,12,90,49,0
0,82,49,77,84,91,0
0,97,72,36,96,24,1
0,20,84,54,64,37,0
0,57,56,3,49,14,0
0,66,61,24,9,46,0
0,7,44,75,77,30,0
0,71,90,66,63,15,0
0,99,34,73,51,48,0
0,65,6,33,72,59,0
0,88,37,92,64,69,0
0,43,88,23,91,39,0
0,34,69,9,73,55,0
0,6,97,64,32,3,0
0,90,68,16,17,39,1
0,77,73,89,31,2,0
0,98,94,23,26,12,0
0,0,47,62,66,43,1
0,51,73,25,65,41,0
0,64,66,80,80,66,0
0,21,99,79,50,31,1
0,4,24,17,43,98,0
0,41,23,69,52,43,0
0,31,95,57,35,91,0
0,43,68,12,74,40,0
0,12,38,48,36,23,1
0,29,57,21,36,91,0
0,48,41,98,56,28,0
0,26,43,21,34,47,0
0,95,90,51,76,9,0
0,73,78,32,86,95,0
0,16,83,7,78,49,0
0,73,68,1,73,55,0
0,41,79,29,5,14,0
0,24,29,82,76,22,0
0,21,7,85,85,33,0
0,53,28,57,91,44,0
0,63,56,71,82,84,1
0,47,18,57,54,41,0
0,94,51,36,52,56,0
0,97,19,43,68,90,0
0,33,66,44,35,47,0
0,41,77,34,40,84,0
0,63,80,58,88,35,0
0,50,19,42,5,51,0
0,81,44,9,92,7,1
0,17,20,72,89,7,0
0,9,10,13,58,29,1
0,63,33,48,19,78,0
0,56,28,45,63,61,1
0,50,66,14,94,21,0
0,0,69,40,25,81,0
0,94,35,57,94,44,1
0,76,32,13,17,91,0
0,95,58,73,70,47,0
0,15,20,48,54,22,0
0,40,89,52,3,37,0
0,22,42,13,94,23,0
0,60,52,5,36,58,0
0,40,17,51,68,60,0
0,13,31,51,67,27,0
0,46,93,15,90,94,1
0,9,86,82,91,59,0
0,21,58,35,90,7,1
0,25,35,58,98,70,1
0,11,30,33,28,31,0
0,90,29,10,44,22,1
0,35,5,43,67,85,1
0,24,41,49,86,17,0
0,73,97,67,41,71,0
0,23,25,88,65,20,0
0,91,42,59,55,53,0
0,12,17,70,44,9,1
0,42,7,76,5,0,1
0,8,21,96,92,60,1
0,76,23,83,92,11,1
0,88,6,57,55,80,0
0,29,96,85,32,81,1
0,30,46,98,90,81,0
0,35,31,43,75,86,1
0,87,70,96,96,76,0
0,19,41,72,88,48,0
0,77,90,83,63,45,0
0,85,17,74,21,3,0
0,64,34,72,52,54,0
0,70,68,50,46,4,1
0,17,53,19,23,48,1
0,34,79,38,32,35,0
0,93,5,68,79,84,1
0,78,32,39,58,21,0
0,60,43,26,4,29,1
0,49,62,98,48,98,1
0,52,68,89,15,9,0
0,97,5,51,90,67,0
0,64,75,2,22,26,0
0,22,50,91,26,87,1
0,60,40,24,49,7,0
0,65,54,34,96,73,0
0,33,8,66,39,85,0
0,59,41,89,98,9,0
0,77,85,2,92,17,0
0,34,84,52,58,7,1
0,74,19,90,88,71,1
0,38,38,95,97,54,0
0,35,72,54,49,92,0
0,85,38,43,34,20,0
0,9,51,88,97,20,0
0,85,82,52,15,79,0
0,19,32,4,95,25,0
0,84,90,42,30,16,0
0,97,39,24,22,64,0
0,1,76,50,47,97,1
0,53,40,33,73,94,0
0,39,39,68,12,54,0
0,29,5,75,5,78,1
0,54,99,84,72,21,0
0,16,95,45,27,80,0
0,99,40,75,25,24,0
0,14,89,55,57,97,0
0,3,10,18,34,74,0
0,44,45,92,67,87,0
0,59,87,56,11,87,0
0,88,7,70,75,85,0
0,4,68,33,24,3,0
0,90,86,66,78,99,0
0,11,60,47,65,59,0
0,76,6,39,91,50,1
0,49,87,35,4,17,0
0,27,19,51,95,75,0
0,59,38,79,93,38,0
0,19,45,4,54,58,0
0,33,52,7,63,8,0
0,14,18,42,54,81,0
0,81,36,48,2,37,0
0,32,66,13,74,52,0
0,56,8,43,67,29,0
0,48,69,98,96,47,0
0,86,10,83,60,49,0
0,13,35,7,88,91,0
0,76,57,22,69,12,1
0,59,16,54,97,17,0
0,41,47,70,23,74,0
0,99,37,15,82,71,0
0,95,64,53,46,64,0
0,83,79,18,42,3,0
0,2,10,62,34,22,0
0,66,61,83,89,19,1
0,26,52,73,63,37,0
0,25,5,47,8,30,0
0,19,22,55,57,10,0
0,37,70,28,9,52,0
0,86,54,90,63,39,0
0,61,37,16,39,92,0
0,81,4,74,85,46,0
0,99,18,86,46,54,0
0,81,12,41,58,16,1
0,22,42,86,21,79,1
0,81,65,31,11,98,0
0,35,55,64,54,65,1
0,42,30,66,71,11,1
0,7,41,32,59,27,0
0,38,85,87,55,28,0
0,67,73,62,69,88,0
0,59,64,60,97,3,0
0,54,37,89,55,40,1
0,72,64,8,50,73,0
0,79,76,99,25,53,0
0,27,76,79,5,6,0
0,50,83,11,11,30,0
0,88,45,25,69,88,0
0,89,3,48,3,0,0
0,82,49,96,14,26,0
0,73,58,89,60,18,0
0,39,89,83,55,42,1
0,84,33,3,76,42,1
0,84,72,16,3,53,1
0,44,47,47,9,86,0
0,50,35,62,1,20,0
0,75,69,49,98,27,1
0,95,80,93,30,93,0
0,88,19,74,99,46,0
0,93,55,58,18,51,1
0,99,1,28,61,28,0
0,20,47,12,47,83,0
0,50,59,88,96,40,0
0,52,37,89,48,98,0
0,24,58,53,4,84,0
0,66,49,59,93,36,1
0,35,68,52,50,56,0
0,55,20,38,95,7,1
0,90,75,77,83,7,0
0,4,35,74,11,86,0
0,98,0,15,77,91,0
0,25,69,42,13,55,1
0,1,70,44,35,98,1
0,95,92,44,65,66,0
0,62,24,88,36,22,0
0,19,72,11,16,71,0
0,74,34,65,13,76,0
0,47,80,33,55,95,0
0,72,56,64,14,15,0
0,76,51,9,14,63,1
0,56,2,4,38,69,0
0,8,40,59,98,25,1
0,79,80,12,99,54,0
0,20,85,84,45,22,0
0,68,5,5,7,63,0
0,81,26,72,31,17,0
0,66,60,62,8,96,0
0,77,85,1,88,49,0
0,83,42,37,74,10,0
0,62,25,78,31,77,0
0,57,64,50,80,22,0
0,77,75,78,61,9,1
0,54,53,40,2,3,0
0,4,47,32,95,63,1
0,69,40,55,57,48,0
0,41,35,56,27,32,0
0,7,40,96,95,20,1
0,78,15,96,86,74,0
0,28,99,75,96,23,0
0,80,11,76,13,62,0
0,45,82,29,39,64,1
0,43,7,10,12,68,1
0,40,83,32,67,98,0
0,61,15,80,57,31,1
0,62,55,71,93,51,0
0,62,37,3,57,98,0
0,92,97,73,91,39,0
0,81,78,65,7,84,0
0,5,37,30,54,57,1
0,96,94,73,23,73,0
0,1,70,19,5,98,0
0,50,48,22,85,36,0
0,21,77,81,77,39,0
0,24,11,31,43,94,0
0,6,2,63,5,13,1
0,92,43,32,78,33,0
0,70,40,86,0,38,0
0,33,65,13,55,33,1
0,80,28,4,18,93,0
0,60,5,84,26,83,0
0,25,47,94,26,91,0
0,45,33,39,89,26,0
0,60,90,47,61,14,0
0,28,87,32,92,95,0
0,56,20,69,37,2,0
0,28,61,64,93,86,0
0,70,88,71,6,5,0
0,20,90,50,62,8,0
0,28,77,69,58,95,1
0,37,48,65,98,47,0
0,87,7,55,40,25,0
0,72,41,82,65,67,0
0,7,41,99,20,12,0
0,86,59,90,47,85,1
0,79,8,78,77,38,0
0,37,44,85,24,68,0
0,74,88,72,41,19,0
0,34,15,36,90,34,0
0,17,37,33,97,22,1
0,63,83,98,53,6,0
0,24,57,45,78,18,1
0,85,56,20,89,92,0
0,33,78,51,78,14,0
0,77,63,25,63,25,0
0,15,24,59,49,79,0
0,74,37,84,34,63,0
0,22,6,70,84,39,0
0,48,29,50,12,86,1
0,46,77,96,61,97,0
0,67,37,56,11,32,0
0,28,35,83,57,73,0
0,35,44,37,98,7,0
0,60,86,72,46,20,1
0,56,81,72,46,34,0
0,32,0,86,43,89,1
0,34,49,24,63,98,0
0,34,46,91,60,92,1
0,44,42,48,75,19,1
0,98,70,75,12,53,0
0,58,80,7,80,56,0
0,95,55,43,86,50,0
0,10,95,54,35,91,1
0,18,38,92,54,14,0
0,82,23,99,22,12,0
0,21,97,46,26,35,0
0,42,42,61,69,17,0
0,76,94,65,18,72,1
0,44,21,4,24,57,0
0,68,42,25,82,44,0
0,76,63,23,95,71,1
0,17,97,11,92,39,0
0,45,98,66,37,6,1
0,81,78,80,10,93,0
0,63,94,60,97,72,0
0,80,83,75,62,28,0
0,84,65,81,10,66,0
0,10,84,93,69,69,0
0,35,75,63,58,14,0
0,11,99,27,74,5,1
0,74,55,84,72,85,0
0,16,15,13,55,81,0
0,51,46,90,37,48,0
0,21,36,20,25,80,0
0,93,14,72,1,71,1
0,99,23,8,96,75,1
0,62,1,26,85,48,0
0,67,99,5,95,15,0
0,80,98,83,17,45,0
0,77,82,52,3,37,0
0,69,10,66,51,23,0
0,98,59,40,87,66,0
0,27,1,2,5,54,1
0,38,60,82,62,90,0
0,61,38,80,61,63,0
0,98,45,72,70,58,0
0,0,19,31,40,1,0
0,26,79,35,97,89,1
0,97,55,0,88,92,0
0,14,13,87,92,6,0
0,88,68,96,85,84,1
0,22,98,4,56,87,0
0,28,11,84,91,80,1
0,5,2,74,67,27,0
0,14,28,41,92,7,1
0,38,0,63,11,9,1
0,85,59,59,78,82,1
0,74,36,21,77,64,0
0,75,43,31,36,37,1
0,52,95,4,26,28,0
0,48,93,24,14,10,0
0,23,83,22,16,72,0
0,81,73,9,24,9,0
0,46,26,57,45,80,0
0,16,4,68,80,60,1
0,53,69,63,37,55,0
0,40,55,61,7,61,0
0,34,97,76,35,64,0
0,9,12,33,6,95,0
0,62,43,53,89,3,0
0,83,97,60,36,63,1
0,79,14,56,17,40,0
0,8,16,88,66,22,1
0,3,75,69,14,57,0
0,17,70,73,59,91,1
0,26,80,31,38,80,0
0,6,18,63,44,50,0
0,52,32,94,4,7,1
0,40,98,47,89,68,0
0,10,99,33,3,37,0
0,33,56,9,27,93,0
0,12,0,67,39,57,0
0,55,2,3,24,30,0
0,23,12,82,61,56,0
0,11,23,13,67,42,1
0,58,16,2,60,52,0
0,40,77,91,61,61,0
0,5,31,28,91,30,0
0,92,84,3,90,48,1
0,33,3,53,67,9,0
0,25,45,36,75,61,1
0,37,99,68,91,88,0
0,69,12,41,80,63,0
0,95,92,94,80,79,0
0,13,96,19,74,76,0
0,21,7,59,48,54,1
0,72,37,63,16,74,0
0,12,71,72,46,29,0
0,31,66,24,3,99,1
0,42,55,33,46,61,0
0,62,39,40,32,61,1
0,67,85,70,28,64,0
0,28,11,13,95,19,1
0,12,97,4,50,47,0
0,65,63,11,10,82,0
0,7,86,17,8,33,0
0,68,59,4,14,53,0
0,32,75,64,72,60,0
0,67,76,57,0,47,0
0,81,25,47,88,71,0
0,98,36,35,15,99,1
0,14,5,96,46,39,0
0,92,93,39,16,1,1
0,29,35,45,19,89,1
0,73,89,42,24,12,1
0,79,51,66,25,60,0
0,93,21,56,5,68,1
0,16,90,85,33,37,0
0,20,79,50,62,49,0
0,69,49,30,39,96,1
0,22,92,48,91,36,1
0,73,72,97,39,61,1
0,35,94,38,13,15,1
0,42,90,8,36,88,1
0,30,60,73,34,93,0
0,71,33,7,86,10,0
0,20,23,56,99,82,0
0,84,11,36,34,18,0
0,79,16,89,26,74,0
0,82,29,86,75,4,1
0,96,29,80,25,49,0
0,71,60,20,21,63,1
0,59,9,37,47,93,1
0,35,88,67,6,4,0
0,18,45,2,63,10,0
0,73,47,93,68,97,0
0,98,51,60,67,58,0
0,69,48,15,20,6,0
0,19,74,46,84,41,0
0,70,97,28,24,91,0
0,31,35,45,98,70,1
0,32,3,48,12,56,0
0,5,39,71,8,44,1
0,19,3,34,12,12,0
0,95,65,35,21,39,0
0,70,96,81,34,53,0
0,94,21,27,58,66,0
0,17,9,12,34,34,0
0,92,21,6,75,54,1
0,83,40,9,91,23,0
0,61,27,72,50,48,0
0,22,96,67,26,35,1
0,52,50,21,48,31,0
0,28,73,67,85,23,0
0,91,40,4,73,34,0
0,43,77,21,91,16,1
0,9,94,55,9,26,1
0,10,74,24,61,68,0
0,73,32,62,50,82,0
0,70,59,87,46,20,1
0,45,78,18,58,32,0
0,94,69,48,26,99,0
0,2,89,73,90,91,1
0,65,78,89,41,65,0
0,32,28,72,90,12,0
0,13,53,64,37,37,1
0,21,81,63,38,61,0
0,20,27,18,45,60,1
0,60,58,27,2,20,0
0,18,42,16,31,6,0
0,15,58,41,15,62,1
0,69,34,26,51,1,0
0,56,38,56,22,22,0
0,32,10,60,37,92,1
0,77,41,32,85,28,1
0,35,80,26,15,40,0
0,47,1,68,76,61,0
0,99,28,7,21,15,0
0,16,24,34,40,57,0
0,18,4,10,59,79,1
0,46,7,8,37,83,0
0,48,67,34,27,53,1
0,67,76,38,12,18,0
0,80,91,1,30,95,0
0,27,73,55,57,69,0
0,75,91,2,51,83,0
0,15,75,58,65,72,0
0,48,30,91,29,85,1
0,49,57,38,32,27,1
0,89,12,96,70,56,1
0,7,86,84,30,14,0
0,54,52,96,19,68,1
0,39,89,7,29,9,0
0,74,30,49,75,36,0
0,10,4,80,72,82,1
0,39,81,21,43,20,1
0,73,42,16,48,70,0
0,91,53,40,73,44,1
0,85,82,61,54,69,1
0,26,4,36,5,22,0
0,47,37,24,75,13,1
0,85,6,70,29,38,0
0,95,59,30,25,18,0
0,9,0,21,65,69,1
0,9,89,82,8,99,0
0,70,60,78,85,46,1
0,46,41,71,18,72,0
0,6,61,89,45,72,0
0,72,84,62,29,53,1
0,95,87,78,51,90,1
0,16,52,17,3,70,1
0,54,24,81,53,33,1
0,18,10,31,15,27,0
0,7,1,49,5,33,1
0,82,18,16,73,52,1
0,64,54,64,47,93,1
0,43,8,11,54,79,0
0,55,51,5,17,69,1
0,14,63,80,75,57,0
0,4,55,55,98,66,0
0,79,75,55,77,56,0
0,49,67,17,66,23,0
0,38,70,82,38,94,1
0,58,21,21,89,8,0
0,44,40,70,8,32,1
0,2,4,80,78,64,0
0,60,73,9,2,82,1
0,47,74,70,85,6,1
0,97,73,65,20,96,0
0,8,9,56,65,97,0
0,46,32,40,66,76,1
0,57,97,91,78,30,0
0,92,28,69,63,47,0
0,60,78,66,31,21,1
0,92,31,28,32,50,1
0,24,82,45,5,51,0
0,85,14,71,93,37,0
0,49,67,36,97,40,1
0,84,93,53,18,37,0
0,40,49,7,24,25,0
0,38,99,28,39,71,1
0,86,44,66,78,13,0
0,48,59,98,59,13,0
0,78,59,80,34,70,0
0,60,97,61,8,58,1
0,80,48,70,11,75,1
0,69,72,0,5,88,1
0,75,80,46,69,15,0
0,65,44,77,2,42,1
0,65,11,94,16,43,1
0,1,35,37,83,60,0
0,81,69,76,60,56,0
0,76,62,96,90,5,1
0,90,99,98,83,0,1
0,79,27,42,6,45,0
0,11,54,62,63,41,1
0,1,80,3,64,69,0
0,14,95,69,67,42,0
0,85,71,70,64,34,1
0,27,88,32,80,14,0
0,97,47,16,32,39,0
0,92,32,64,75,97,0
0,47,10,26,7,58,0
0,20,41,91,73,3,1
0,92,51,78,79,25,0
0,74,23,58,63,29,0
0,55,48,83,89,83,0
0,68,14,41,99,97,1
0,62,72,52,30,54,0
0,22,86,90,63,66,1
0,90,45,83,80,97,1
0,1,44,51,28,71,0
0,5,25,39,29,39,1
0,46,86,21,43,72,1
0,19,72,89,51,37,1
0,45,98,36,43,98,0
0,90,13,8,72,60,1
0,48,52,27,67,21,1
0,1,55,54,69,84,0
0,16,70,21,46,32,0
0,25,83,69,35,8,0
0,82,82,56,34,58,0
0,19,5,98,52,42,0
0,0,27,58,44,72,1
0,12,50,32,46,34,1
0,2,2,68,8,84,1
0,47,3,34,68,5,0
0,97,69,39,44,33,0
0,81,4,26,58,27,1
0,12,14,18,99,41,1
0,47,14,82,39,50,0
0,18,65,99,0,55,1
0,51,67,86,66,29,1
0,22,3,73,28,36,0
0,82,22,23,60,53,0
0,29,99,20,98,32,1
0,99,90,2,88,98,1
0,19,19,29,9,33,1
0,35,60,18,18,88,0
0,12,43,1,54,78,1
0,77,27,37,93,53,1
0,33,55,98,51,39,1
0,14,65,19,36,66,0
0,56,39,81,3,93,0
0,60,25,98,72,39,0
0,79,40,41,13,62,0
0,34,57,60,21,0,0
0,46,51,15,86,45,0
0,82,54,7,54,66,0
0,10,96,10,89,49,0
0,57,65,30,97,36,1
0,53,42,51,88,66,1
0,79,84,5,81,88,1
0,43,78,77,79,55,1
0,33,65,54,13,30,0
0,84,42,80,15,54,0
0,1,79,61,3,74,1
0,85,79,37,97,32,1
0,74,45,35,24,35,0
0,95,36,61,37,98,0
0,65,16,29,38,58,0
0,70,35,33,35,15,0
0,93,92,85,9,81,0
0,23,76,31,71,38,1
0,36,80,10,39,47,0
0,7,29,15,7,79,1
0,48,1,25,90,18,0
0,38,42,25,69,91,0
0,80,41,45,37,41,1
0,19,37,36,77,98,0
0,39,28,41,67,7,0
0,53,53,19,11,33,1
0,98,40,76,17,14,0
0,78,48,39,77,29,0
0,41,90,36,49,92,0
0,17,88,93,37,34,0
0,19,36,93,34,73,1
0,11,7,87,28,14,0
0,17,35,15,66,8,0
0,31,98,50,15,48,1
0,21,27,18,30,69,0
0,49,36,34,75,13,1
0,65,29,50,27,74,1
0,51,17,12,51,94,0
0,49,46,21,0,89,0
0,96,45,37,67,55,1
0,85,75,93,10,98,0
0,88,22,73,17,77,0
0,73,55,27,94,35,1
0,69,36,87,27,85,1
0,33,43,15,36,41,1
0,30,25,31,44,40,0
0,89,57,0,80,33,1
0,43,57,27,62,2,1
0,58,39,70,56,66,1
0,95,34,12,57,77,0
0,98,42,72,68,51,1
0,83,92,69,39,87,1
0,29,29,7,88,59,1
0,63,28,77,99,38,1
0,11,28,31,62,72,0
0,74,78,76,30,54,0
0,27,77,24,1,92,1
0,51,8,76,86,78,1
0,41,86,45,54,11,0
0,64,11,9,4,25,1
0,17,65,36,78,81,1
0,60,4,81,0,67,0
0,58,91,2,56,56,1
0,32,74,18,58,64,1
0,51,94,42,63,34,0
0,33,3,2,17,6,1
0,52,74,6,28,23,1
0,35,12,90,69,82,0
0,62,91,48,13,69,0
0,79,75,14,55,59,0
0,55,57,64,28,29,0
0,42,3,35,25,97,0
0,60,64,47,0,99,1
0,53,52,57,36,78,0
